time, L
0.066,1.4781
0.0662,1.5698
0.0664,1.5698
0.0666,1.5545
0.0668,1.5545
0.067,1.6004
0.0672,1.6004
0.0674,1.5392
0.0676,1.5545
0.0678,1.5851
0.068,1.5851
0.0682,1.5698
0.0684,1.5851
0.0686,1.5392
0.0688,1.5545
0.069,1.5545
0.0692,1.5545
0.0694,1.5698
0.0696,1.5392
0.0698,1.5545
0.07,1.524
0.0702,1.5545
0.0704,1.5851
0.0706,1.5545
0.0708,1.5545
0.071,1.5851
0.0712,1.5851
0.0714,1.5087
0.0716,1.6157
0.0718,1.6157
0.072,1.5545
0.0722,1.6157
0.0724,1.5392
0.0726,1.5545
0.0728,1.524
0.073,1.5851
0.0732,1.5392
0.0734,0.1271
0.0736,0.1271
0.0738,0.66236
0.074,1.2946
0.0742,1.4322
0.0744,1.524
0.0746,1.6004
0.0748,1.5392
0.075,1.5545
0.0752,1.5698
0.0754,1.6004
0.0756,1.5851
0.0758,1.5392
0.076,1.4934
0.0762,1.524
0.0764,1.5545
0.0766,1.5851
0.0768,1.5545
0.077,1.5545
0.0772,1.5392
0.0774,1.5545
0.0776,1.5545
0.0778,1.5698
0.078,1.5698
0.0782,1.4781
0.0784,1.5087
0.0786,1.5392
0.0788,1.5698
0.079,1.5545
0.0792,1.5392
0.0794,1.524
0.0796,1.5392
0.0798,1.6004
0.08,1.5545
0.0802,1.5545
0.0804,1.6004
0.0806,1.5545
0.0808,1.5851
0.081,1.5851
0.0812,1.5392
0.0814,1.5698
0.0816,1.157
0.0818,0.082
0.082,0.24959
0.0822,0.91582
0.0824,1.3558
0.0826,1.5087
0.0828,1.5392
0.083,1.5087
0.0832,1.524
0.0834,1.5698
0.0836,1.5698
0.0838,1.5698
0.084,1.5698
0.0842,1.524
0.0844,1.524
0.0846,1.5851
0.0848,1.5851
0.085,1.5698
0.0852,1.5851
0.0854,1.524
0.0856,1.5851
0.0858,1.5392
0.086,1.5545
0.0862,1.5698
0.0864,1.5545
0.0866,1.5087
0.0868,1.5545
0.087,1.5851
0.0872,1.5698
0.0874,1.5698
0.0876,1.5698
0.0878,1.6004
0.088,1.5545
0.0882,1.6157
0.0884,1.524
0.0886,1.5392
0.0888,1.5851
0.089,1.5392
0.0892,1.6004
0.0894,1.4934
0.0896,1.6004
0.0898,1.5698
0.09,0.50986
0.0902,0.096483
0.0904,0.418
0.0906,1.1417
0.0908,1.4781
0.091,1.5545
0.0912,1.5698
0.0914,1.5851
